,Season,Episode,Character,Line,Processed Line
8386,12,7,Cartman,All we have to do is sneak back inside without the cops seeing us. Then we can say we were inside all along.,all we have to do is sneak back inside without the cops seeing us then we can say we were inside all along
8387,12,7,Butters,You said they wouldn't notice we were gone. You promised.,you said they wouldnt notice we were gone you promised
8388,12,7,Cartman,"If we sneak back inside, we can say we never left, all right?  All right, now let go of my hand.",if we sneak back inside we can say we never left all right  all right now let go of my hand
8391,12,7,Butters,"Huh you made me break one rule, I'm not breaking the other! It's all I have now.",huh you made me break one rule im not breaking the other its all i have now
8392,12,7,Cartman,"All right, come on!",all right come on
8418,12,7,Kyle,I don't believe it.,i dont believe it
8423,12,7,Butters,"Jeez, uh cops are looking for us everywhere.",jeez uh cops are looking for us everywhere
8424,12,7,Cartman,"Don't worry, they're not gonna find us 'til we're safely back inside.  Look, see that traffic signal down there?  If we can climb across that, we can jump to the tree branch, and then we're home free.",dont worry theyre not gonna find us til were safely back inside  look see that traffic signal down there  if we can climb across that we can jump to the tree branch and then were home free
8426,12,7,Cartman,"Not getting busted always is, Butters. Come on.  Good, that's good.  That's good, Good, all right then. Let's head across.  Go easy. Good.",not getting busted always is butters come on  good thats good  thats good good all right then lets head across  go easy good
8427,12,7,Butters,Oh gosh in heaven.,oh gosh in heaven
8428,12,7,Cartman,"It's all right. You've got it, no problem-  OP.",its all right youve got it no problem  op
8432,12,7,Cartman,"... Oh dude, laaame.",  oh dude laaame
8443,12,7,Mr. Garrison,Not me! Not me not me not me not me!,not me not me not me not me not me
8447,12,7,Butters,"I am so disappointed in myself. Teacher gave me a res-responsibility, and I was just supposed to look after my partner, and I blew it!",i am so disappointed in myself teacher gave me a resresponsibility and i was just supposed to look after my partner and i blew it
8448,12,7,Cartman,"Don't be too hard on yourself, Butters. You can't help being a douchebag. Wait, Butters, look!  This is it! This is our chance! Swing over, Butters! Go!",dont be too hard on yourself butters you cant help being a douchebag wait butters look  this is it this is our chance swing over butters go
8450,12,7,Cartman,Quick! Are you ready?! We gotta jump!,quick are you ready we gotta jump
8456,12,7,Kyle,"Dude, they're gonna kill Kenny!",dude theyre gonna kill kenny
8457,12,7,Stan,I can't let them do it.  I've got to make the ultimate sacrifice.,i cant let them do it  ive got to make the ultimate sacrifice
8460,12,7,Stan,"Wendy, I have to do something. Please look away.",wendy i have to do something please look away
8463,12,7,Stan,"Well howdy there, strangers.  Sorry to interrupt ye, but I done come from Pagosa Springs to buy me some wares an' sich..",well howdy there strangers  sorry to interrupt ye but i done come from pagosa springs to buy me some wares an sich 
8466,12,7,Stan,I heard you all had some difficulty with a criminal getsin' out of your jail.,i heard you all had some difficulty with a criminal getsin out of your jail
8469,12,7,Stan,"I reckon that maybe you could make a jail door that opened with numbers instead of keys. You know, like a biiiiig safe.",i reckon that maybe you could make a jail door that opened with numbers instead of keys you know like a biiiiig safe
8472,12,7,Stan,"If'n you all was to have such a giant safe, what would you villagers want the number to be to unlock that thar jail door shuckamuck?",ifn you all was to have such a giant safe what would you villagers want the number to be to unlock that thar jail door shuckamuck
8476,12,7,Mr. Garrison,"No, you got your door code, let us go!",no you got your door code let us go
8478,12,7,Cartman,"Sweet, there's still cops looking for us in here. All right, follow my lead, Butters.  Hohoo man, hasn't this place been fascinating, Butters?",sweet theres still cops looking for us in here all right follow my lead butters  hohoo man hasnt this place been fascinating butters
8479,12,7,Butters,"Yeah, it sure has.",yeah it sure has
8480,12,7,Cartman,"Oh, I just don't know what I liked better: the historical buildings and archifacts or the, or the uhhhm.",oh i just dont know what i liked better the historical buildings and archifacts or the or the uhhhm
8481,12,7,Butters,"Or the witty anecdotes of the townspeople, uh...",or the witty anecdotes of the townspeople uh 
8482,12,7,Cartman,"Witty anecdotes, yes, that's been ab- that's been awesome.",witty anecdotes yes thats been ab thats been awesome
8483,12,7,Butters,Been a hoot all right!,been a hoot all right
8485,12,7,Cartman,What'd we do? We've been here the whole time.,whatd we do weve been here the whole time
8489,12,7,Butters,Our teacher said we have to hold hands the whole time we're here!,our teacher said we have to hold hands the whole time were here
8498,12,7,Stan,"Hey, m-Murderin' Murphy, you see that there feller?",hey mmurderin murphy you see that there feller
8500,12,7,Stan,He done killed yer pahr.,he done killed yer pahr
8531,12,7,Butters,"Teacher, my partner is back on the bus!",teacher my partner is back on the bus
8533,12,8,Cartman,"No! The Chinese, no! Somebody has to stop them!  No! No!",no the chinese no somebody has to stop them  no no
8535,12,8,Cartman,They're gonna... take over the world! HAA!  Too many of them.  No! Leave us alone!  Nooo!  Damn it no! No!,theyre gonna  take over the world haa  too many of them  no leave us alone  nooo  damn it no no
8537,12,8,Cartman,"Mom. Mom, the Chinese are gonna get me.",mom mom the chinese are gonna get me
8539,12,8,Cartman,They are so! There's two billion of them and their economy is getting better and with all their advances in technology they're gonna bring down America.,they are so theres two billion of them and their economy is getting better and with all their advances in technology theyre gonna bring down america
8540,12,8,Cartman,"All right. Guys, we need to talk.  You know, uh we can all just pretend... that we didn't see those opening ceremonies but, the Chinese... are very real. We've gotta do something.  Are we just gonna pretend America is going to be okay? Are we just going to... wait until they've taken over the world?",all right guys we need to talk  you know uh we can all just pretend  that we didnt see those opening ceremonies but the chinese  are very real weve gotta do something  are we just gonna pretend america is going to be okay are we just going to  wait until theyve taken over the world
8541,12,8,Kyle,"I'm sorry.  I I'm sorry, I can't do this.  I'm not doing this.",im sorry  i im sorry i cant do this  im not doing this
8542,12,8,Stan,"Kyle, you're supposed to tell Cartman he's being racist or something?",kyle youre supposed to tell cartman hes being racist or something
8543,12,8,Kyle,"Yeah he's an idiot but uh I'm sorry, I just... I can't do this anymore, okay? I... I can't do this anymore!",yeah hes an idiot but uh im sorry i just  i cant do this anymore okay i  i cant do this anymore
8545,12,8,Stan,"Kyle.  Kyle, you can't keep doing this. You know what, at some point, you you've got to let this go.",kyle  kyle you cant keep doing this you know what at some point you youve got to let this go
8546,12,8,Kyle,"Yeah? Well... maybe you can forget what happened, but I... can't.",yeah well  maybe you can forget what happened but i  cant
8547,12,8,Stan,"Look, what happened, happened. We can't change it now. We have to move on.",look what happened happened we cant change it now we have to move on
8548,12,8,Kyle,"Move on?! Our friend was raped, Stan! He was raped, and we all stood there and did  nothing!",move on our friend was raped stan he was raped and we all stood there and did  nothing
8549,12,8,Stan,"There was nothing we could do, Kyle!  There was nothing we could do. We had to get out of there.",there was nothing we could do kyle  there was nothing we could do we had to get out of there
8550,12,8,Kyle,Did we?! Maybe we could have stopped them!,did we maybe we could have stopped them
8552,12,8,Kyle,"I dream about it every night. Every time I close my eyes I see us just running away, running while they ray-rape him over and over again.  And because we did nothing... they got away.",i dream about it every night every time i close my eyes i see us just running away running while they rayrape him over and over again  and because we did nothing  they got away
8553,12,8,Stan,"You can't keep torturing yourself like this, Kyle. Let it... go.",you cant keep torturing yourself like this kyle let it  go
8554,12,8,Kyle,I'm... glad... that you guys can just keep living. I don't think I can.,im  glad  that you guys can just keep living i dont think i can
8556,12,8,Butters,Lu lu lu I've got some space flight. Lu lu lu space flights seem old... Lu lu lu-,lu lu lu ive got some space flight lu lu lu space flights seem old  lu lu lu
8557,12,8,Cartman,"There you are, Butters!",there you are butters
8559,12,8,Cartman,"Butters, I need your help.",butters i need your help
8560,12,8,Butters,"Not now, Eric, I'm ih I'm indecent.",not now eric im ih im indecent
8561,12,8,Cartman,"The Chinese are gonna take us over, Butters! And we are the only people who seem to care!",the chinese are gonna take us over butters and we are the only people who seem to care
8563,12,8,Cartman,"I handed out fliers, called together meetings, but it's like... everyone's turning a blind eye. The Chinese are taking over the world and nobody's doing anything! It's up to you and me, Butters. We have to stop the Chinese now.",i handed out fliers called together meetings but its like  everyones turning a blind eye the chinese are taking over the world and nobodys doing anything its up to you and me butters we have to stop the chinese now
8564,12,8,Butters,"Aw, I can't stop the Chinese tonight, Eric, uh I'm supposed to make a model car with my dad.",aw i cant stop the chinese tonight eric uh im supposed to make a model car with my dad
8565,12,8,Cartman,"You don't get it Butters! Our lives are about to change! The Chinese outnumber us a million to one. And when their army gets here, they're gonna kill your parents!",you dont get it butters our lives are about to change the chinese outnumber us a million to one and when their army gets here theyre gonna kill your parents
8566,12,8,Butters,Why are they gonna kill my parents?,why are they gonna kill my parents
8567,12,8,Cartman,Because the Chinese hate Americans! That's why I've started: the American Liberation Front. A group dedicated to freeing American from Chinese tyranny.  Will you join me?,because the chinese hate americans thats why ive started the american liberation front a group dedicated to freeing american from chinese tyranny  will you join me
8568,12,8,Butters,I don't want my parents to die.,i dont want my parents to die
8569,12,8,Cartman,So you'll join the American Liberation Front?!,so youll join the american liberation front
8571,12,8,Cartman,"You and me: we're going to be the brave little boys who fought back, Butters. We are not letting them take over our country. Fuck the Chinese.",you and me were going to be the brave little boys who fought back butters we are not letting them take over our country fuck the chinese
8572,12,8,Butters,"Yeah,  fuck 'em.",yeah  fuck em
8573,12,8,Kyle,No... No!  No...,no  no  no 
8574,12,8,Kyle,"No, wait. No, we have to stop them! They're raping him. Rape!",no wait no we have to stop them theyre raping him rape
8575,12,8,Stan,Let's get out of here!,lets get out of here
8576,12,8,Kyle,We can't just leave!,we cant just leave
8582,12,8,Kyle,They're just taking Indiana Jones and they're...  they're raping him!,theyre just taking indiana jones and theyre   theyre raping him
8583,12,8,Stan,I can't watch!  Let's get out of here Kyle!,i cant watch  lets get out of here kyle
8584,12,8,Kyle,Why would Spielberg and Lucas do this?!,why would spielberg and lucas do this
8585,12,8,Stan,COME ON LET'S GO!,come on lets go
8586,12,8,Kyle,WHY ARE THEY DOING THIIIS?!,why are they doing thiiis
8589,12,8,Stan,Why aliens? Aliens don't belong in an Indiana Jones movie?  Come on dude! There's nothing we can do!,why aliens aliens dont belong in an indiana jones movie  come on dude theres nothing we can do
8592,12,8,Butters,Well I thought it was pretty good.,well i thought it was pretty good
8593,12,8,Stan,"Let's just go, Let's just go!",lets just go lets just go
8594,12,8,Kyle,NOO!  Noo. No. Awwh.  Aw no...,noo  noo no awwh  aw no 
8595,12,8,Cartman,"All right Butters, we're here.  Are you ready?",all right butters were here  are you ready
8596,12,8,Butters,"I'm scared, but I know my country needs me.",im scared but i know my country needs me
8597,12,8,Cartman,"This is it, Butters. We have to be strong. We're taking down those God damned Chinese right now.  Things could get ugly in there, Butters. We've got to infiltrate, and find out the Chinese invasion plans.",this is it butters we have to be strong were taking down those god damned chinese right now  things could get ugly in there butters weve got to infiltrate and find out the chinese invasion plans
8598,12,8,Butters,"But Eric, wu-why would the, Chinese tell us their invasion plans?",but eric wuwhy would the chinese tell us their invasion plans
8599,12,8,Cartman,"Because we're going to make them think... we're one of them.  Here, put these teeth in!  And just say ""herro"" and ""prease"" a lot.  ""Oh, herro prease."" Ping pong ching chong.",because were going to make them think  were one of them  here put these teeth in  and just say herro and prease a lot  oh herro prease ping pong ching chong
8600,12,8,Butters,Ping ping. Herro. ...Prease.,ping ping herro  prease
8602,12,8,Butters,"Hey, Eric, uh these people aren't Chinese.",hey eric uh these people arent chinese
8603,12,8,Cartman,Oh my God! Oh my God! Oh my God!,oh my god oh my god oh my god
8605,12,8,Cartman,It's already started. White people in here working for the Chinese. They're selling out their own country!,its already started white people in here working for the chinese theyre selling out their own country
8607,12,8,Cartman,"Ah yes, herro prease.  We are Chinese peopull.",ah yes herro prease  we are chinese peopull
8608,12,8,Butters,Herro prease. Ting tao ding ling.,herro prease ting tao ding ling
8610,12,8,Cartman,Fruttar sheshar.  What the hell is going on here? We've gotta sneak our back into the back Butters- uh huck!  There they are! Chinese people! There are Chinese people right over there!  Do you see them?,fruttar sheshar  what the hell is going on here weve gotta sneak our back into the back butters uh huck  there they are chinese people there are chinese people right over there  do you see them
8612,12,8,Cartman,"Oh my God the Chinese are here. Okay, okay I'm freaked out. I'm freaking out.",oh my god the chinese are here okay okay im freaked out im freaking out
8614,12,8,Cartman,"They're right over there, and they're gonna start screaming and banging on those drums, and then they're go-  Thank you Butters. All right, we need to go over there and find out what we can from those Commie rats.  Oh, herro, prease, herro.",theyre right over there and theyre gonna start screaming and banging on those drums and then theyre go  thank you butters all right we need to go over there and find out what we can from those commie rats  oh herro prease herro
8616,12,8,Cartman,"So nice to see othaa Chinese peopull heeh. As you can see, we are Chinese peopull ourselves.",so nice to see othaa chinese peopull heeh as you can see we are chinese peopull ourselves
8617,12,8,Butters,Fing fong ting tong.,fing fong ting tong
8621,12,8,Cartman,"Yeah,  So, what are the plans to take over America again? I fohgot.",yeah  so what are the plans to take over america again i fohgot
8622,12,8,Stan,"Jimmy? I don't know what to do about Kyle.  You know, I... I don't think he's ever going to be the same.",jimmy i dont know what to do about kyle  you know i  i dont think hes ever going to be the same
8624,12,8,Stan,"Yeah well I, I just try not to think about it.",yeah well i i just try not to think about it
8626,12,8,Stan,I don't need this now.  I just want things to be the way they were!,i dont need this now  i just want things to be the way they were
8628,12,8,Stan,Indiana Jones! All right!,indiana jones all right
8630,12,8,Stan,"You bet, Indiana!  No!... Look out Indy, it's... Steven Spielberg and George Lucas!",you bet indiana  no  look out indy its  steven spielberg and george lucas
8633,12,8,Stan,No! Uh what are you gonna do to him?!,no uh what are you gonna do to him
8643,12,8,Cartman,"All right, Butters, I think we've almost got the Chinese to trust us! Now as soon as they tell us their invasion plans, make a run for that door, okay?!",all right butters i think weve almost got the chinese to trust us now as soon as they tell us their invasion plans make a run for that door okay
8645,12,8,Cartman,"Ho ho, that's a good one, Ping Ling. Hoho. So ah where were we? Oh yes, the invasion pran.",ho ho thats a good one ping ling hoho so ah where were we oh yes the invasion pran
8647,12,8,Cartman,What day is American invasion again? I fohget.,what day is american invasion again i fohget
8651,12,8,Cartman,"...No no, it's okay. We are Chinese peopull.", no no its okay we are chinese peopull
8654,12,8,Butters,We're busted! Uh what do we do??,were busted uh what do we do
8656,12,8,Cartman,"Stay- stay back! Nobody moves, you got that?!  Don't... touch us! We know what the Chinese are up to! We saw the Olympic Opening Ceremonies!  The gig is up! Everyone just s-step over to that wall!  I mean it! Butters, hold this gun on them.",stay stay back nobody moves you got that  dont  touch us we know what the chinese are up to we saw the olympic opening ceremonies  the gig is up everyone just sstep over to that wall  i mean it butters hold this gun on them
8658,12,8,Cartman,Hold the gun on them Butters!,hold the gun on them butters
8659,12,8,Butters,"I don't want a gun, Eric!",i dont want a gun eric
8660,12,8,Cartman,"They're taking over our country, Butters! This is life or death now! Help! Me!",theyre taking over our country butters this is life or death now help me
8662,12,8,Cartman,"Everyone get up and go over to that wall! Do it! Move!  We, are the American Liberation Front! And you are ALL going to pay for betraying your country to the Chinese!",everyone get up and go over to that wall do it move  we are the american liberation front and you are all going to pay for betraying your country to the chinese
8664,12,8,Cartman,Nobody is going anywhere until the police arrive!,nobody is going anywhere until the police arrive
8668,12,8,Cartman,"You have to shoot him, Butters! He's gonna warn all the Chinese and they're gonna kill your parents! Do it! Do it!",you have to shoot him butters hes gonna warn all the chinese and theyre gonna kill your parents do it do it
8671,12,8,Cartman,"Aw dude, you shot him in the dick.",aw dude you shot him in the dick
8673,12,8,Cartman,That's not cool Butters. You don't shoot a guy in the dick.,thats not cool butters you dont shoot a guy in the dick
8674,12,8,Butters,"But I was just trying to stop him, and you said-",but i was just trying to stop him and you said
8675,12,8,Cartman,"It doesn't matter, Butters! You never shoot a guy in the dick. Everyone knows that! Shooting a guy in the dick? That's just, that's just weak. I can't believe you, Butters.",it doesnt matter butters you never shoot a guy in the dick everyone knows that shooting a guy in the dick thats just thats just weak i cant believe you butters
8676,12,8,Kyle,"My name is Kyle Broflovski. My friend was raped last Memorial Day weekend. And, and I  I'm gonna help prosecute the men responsible.",my name is kyle broflovski my friend was raped last memorial day weekend and and i  im gonna help prosecute the men responsible
8678,12,8,Kyle,"I know that I'll have to testify, that I'll have to... relive what I saw that day.  But I can't let Spielberg and Lucas get away with it. Not this time. Even if I have to do it alone.",i know that ill have to testify that ill have to  relive what i saw that day  but i cant let spielberg and lucas get away with it not this time even if i have to do it alone
8681,12,8,Stan,We'll all testify. We can't let them ever do this again.  I love you.,well all testify we cant let them ever do this again  i love you
8682,12,8,Kyle,I love you too.,i love you too
8686,12,8,Kyle,Did you see it?,did you see it
8688,12,8,Stan,Then you saw what Lucas and Spielberg did to him!,then you saw what lucas and spielberg did to him
8690,12,8,Kyle,Indy deserved more than that!,indy deserved more than that
8701,12,8,Cartman,"Shaddup! These American traitors might have bought your propaganda, but not us!  Oh, thank God, the police are here! We're safe!",shaddup these american traitors might have bought your propaganda but not us  oh thank god the police are here were safe
8703,12,8,Cartman,"No no, you got it wrong. We aren't the Chinese, we're the good gu-  AAH!  Oh my God! Oh my God! Oh my God!",no no you got it wrong we arent the chinese were the good gu  aah  oh my god oh my god oh my god
8705,12,8,Cartman,"One of the cops is Chinese! Son of a bitch, how high up does this thing go? We can't trust anybody here, Butters!  Don't come any closer! We have information that that we will only trust with the President of the United States!",one of the cops is chinese son of a bitch how high up does this thing go we cant trust anybody here butters  dont come any closer we have information that that we will only trust with the president of the united states
8708,12,8,Cartman,"No! God damn it we're serious! We'll only talk to the President! Stop! Fire a warning shot, Butters!",no god damn it were serious well only talk to the president stop fire a warning shot butters
8710,12,8,Cartman,Dude! What the fuck are you doing?!,dude what the fuck are you doing
8712,12,8,Cartman,"God damn it Butters, what did I say about shooting guys in the dick?!",god damn it butters what did i say about shooting guys in the dick
8713,12,8,Butters,"Aw, I did it again?",aw i did it again
8714,12,8,Cartman,"What the hell is wrong with you?! That is not cool, Butters! That is not cool!  You don't fucking do that! You don't shoot a guy in the dick!",what the hell is wrong with you that is not cool butters that is not cool  you dont fucking do that you dont shoot a guy in the dick
8715,12,8,Butters,"Well okay, I'm sorry!",well okay im sorry
8716,12,8,Cartman,...It's not okay! Defeating the Chinese won't mean anything if we do it by going around shooting people in the dick!  God damn it!, its not okay defeating the chinese wont mean anything if we do it by going around shooting people in the dick  god damn it
8719,12,8,Stan,But they raped Indiana Jones!,but they raped indiana jones
8720,12,8,Kyle,"I know it's hard to think about, but you have to be strong. Remember how that movie made you feel.",i know its hard to think about but you have to be strong remember how that movie made you feel
8741,12,8,Kyle,It's okay. You don't have to feel alone anymore.,its okay you dont have to feel alone anymore
8742,12,8,Cartman,"No no! You listen to me! I have Chinese attackers here! And Chinese supporters! If I go outside, there are more Chinese ready to take me down! Defending America is all that matters, Mr. President! And I will stop at nothing! You understand that I  What happened?!",no no you listen to me i have chinese attackers here and chinese supporters if i go outside there are more chinese ready to take me down defending america is all that matters mr president and i will stop at nothing you understand that i  what happened
8743,12,8,Butters,They uh tr-tried to come in through the roof! They were gonna take the gun.,they uh trtried to come in through the roof they were gonna take the gun
8744,12,8,Cartman,Good! Did you kill him?,good did you kill him
8747,12,8,Butters,"Well it's not where I aimed, honest.",well its not where i aimed honest
8749,12,8,Butters,I seriously didn't mean it.,i seriously didnt mean it
8750,12,8,Cartman,"Dude!  You know what, Butters? You know what? Forget it.",dude  you know what butters you know what forget it
8751,12,8,Butters,"What? Uh where are you going, Eric?",what uh where are you going eric
8752,12,8,Cartman,"You can just deal with the Chinese invasion yourself if that's how you're gonna do it, Butters! I'm out, man.",you can just deal with the chinese invasion yourself if thats how youre gonna do it butters im out man
8753,12,8,Butters,"By, by my, by myself?",by by my by myself
8754,12,8,Cartman,I didn't sign up for this! You take your American Liberation Front and you shove it up your ass.  That's it. Kill me. Do whatever. I can no longer conscionably be a part of the American Liberation Front.,i didnt sign up for this you take your american liberation front and you shove it up your ass  thats it kill me do whatever i can no longer conscionably be a part of the american liberation front
8768,12,8,Kyle,We live. That's what Indy would have wanted. We just try... to live.,we live thats what indy would have wanted we just try  to live
8782,12,8,Butters,So wait. That's it? What about the Chinese invasion?,so wait thats it what about the chinese invasion
8783,12,8,Cartman,"I really don't care anymore, Butters. You see, I've learned something today. As Americans our fear of seeing another country become powerful can turn us into monsters. Watching how crazy you went. Watching you just... shoot people in the dick like that. It made me realize that I want America to be safe, but not at the cost of losing its dignity. I'd rather us be... Chinese... than a nation of unethical dickshooters.  You think about it.",i really dont care anymore butters you see ive learned something today as americans our fear of seeing another country become powerful can turn us into monsters watching how crazy you went watching you just  shoot people in the dick like that it made me realize that i want america to be safe but not at the cost of losing its dignity id rather us be  chinese  than a nation of unethical dickshooters  you think about it
8784,12,8,Butters,...Can't believe they put 'em in jail. And I thought that movie was pretty good., cant believe they put em in jail and i thought that movie was pretty good
8785,12,9,Mr. Garrison,"Okay children, let's all take our seats.  Before we get started today, Wendy Testaburger has asked to share something with the class. Wendy?",okay children lets all take our seats  before we get started today wendy testaburger has asked to share something with the class wendy
8787,12,9,Cartman,She said it again.,she said it again
8789,12,9,Cartman,"Mr. Garrison, do we really need all this potty talk in the classroom?",mr garrison do we really need all this potty talk in the classroom
8790,12,9,Mr. Garrison,"Eric, for the love of Jesus...",eric for the love of jesus 
8792,12,9,Cartman,"Me? You're the one talking about killer titties.  Watch out, guys. Wendy said boobs can kill people.  Grrr. Gonna get you. Gonna get you, Wendy!",me youre the one talking about killer titties  watch out guys wendy said boobs can kill people  grrr gonna get you gonna get you wendy
8793,12,9,Butters,I don't wanna get killed by boobs.,i dont wanna get killed by boobs
8795,12,9,Mr. Garrison,"Eric, stop being offensive.",eric stop being offensive
8796,12,9,Cartman,"I'm just trying to engage Wendy in a constructive dialogue about breast cancer awareness, Mr. Garrison.",im just trying to engage wendy in a constructive dialogue about breast cancer awareness mr garrison
8798,12,9,Cartman,"Wendy, you need to calm down. You're gonna get your boobs all angry and they're gonna start killing everyone.  Dude, I'm on fire today!",wendy you need to calm down youre gonna get your boobs all angry and theyre gonna start killing everyone  dude im on fire today
8799,12,9,Cartman,"Look out, everyone. There's some killer titties on the loose.  Could've swore I heard them coming through the roof.  ""Pssht! Officer! We need to get an APB out on those titties! They're armed and dangerous!""",look out everyone theres some killer titties on the loose  couldve swore i heard them coming through the roof  pssht officer we need to get an apb out on those titties theyre armed and dangerous
8801,12,9,Cartman,"Not at all.  ""Wendy, we're gonna get you Wendy. We're your boobs, we're gonna kill you!""",not at all  wendy were gonna get you wendy were your boobs were gonna kill you
8803,12,9,Cartman,"Oho, really? What are you gonna do about it, Wendy?",oho really what are you gonna do about it wendy
8805,12,9,Cartman,"Haha, you're gonna kick my ass?",haha youre gonna kick my ass
8807,12,9,Cartman,"You wanna throw down, dawg? I'll throw down.",you wanna throw down dawg ill throw down
8811,12,9,Cartman,"Standing right here, let's go, bitch.",standing right here lets go bitch
8813,12,9,Cartman,You're gonna fight me after school?,youre gonna fight me after school
8815,12,9,Cartman,"You're a chick, dude.",youre a chick dude
8817,12,9,Cartman,"Oh, it's on, bitch!",oh its on bitch
8819,12,9,Butters,Wendy and Eric are fightin' after school! Hey everybody!  Wendy and Eric are fightin' after school!,wendy and eric are fightin after school hey everybody  wendy and eric are fightin after school
8827,12,9,Butters,"Jeez, I can't believe Wendy's gonna fight you after school.",jeez i cant believe wendys gonna fight you after school
8829,12,9,Cartman,"She is not gonna show up to a fight, dawg. I'm sure she's already trying to figure a way to get out of it.",she is not gonna show up to a fight dawg im sure shes already trying to figure a way to get out of it
8831,12,9,Cartman,"Yeah, I'm just gonna teach her a lesson. I'm not gonna totally... kick her ass.",yeah im just gonna teach her a lesson im not gonna totally  kick her ass
8833,12,9,Butters,"Yeah, heh.  If you got beat up by a girl, everyone would think you were a faggot.",yeah heh  if you got beat up by a girl everyone would think you were a faggot
8834,12,9,Cartman,"Wendy, could I talk to you for a second?",wendy could i talk to you for a second
8836,12,9,Cartman,"Wendy, I want to apologize, and um, tell you that-",wendy i want to apologize and um tell you that
8838,12,9,Cartman,"I want to apologize, and tell you that... I'm sorry for what I said. Okay? It was wrong of me, and I promise you that it won't happen again. I don't wanna fight you after school, all right? So, I'm sorry.",i want to apologize and tell you that  im sorry for what i said okay it was wrong of me and i promise you that it wont happen again i dont wanna fight you after school all right so im sorry
8840,12,9,Cartman,"Actually, I was thinking... let's just keep this between us. I was wrong to make fun of breast cancer, and I'm very remorsefulness.",actually i was thinking  lets just keep this between us i was wrong to make fun of breast cancer and im very remorsefulness
8842,12,9,Cartman,"Pfft, apologize?!  That's not what I said, you dumb bitch. Heheh, heheh.",pfft apologize  thats not what i said you dumb bitch heheh heheh
8844,12,9,Cartman,"Oh Wendy, such a desperate attempt to get out of it. These students are a little too smart to see you're just making excuses not to fight me.",oh wendy such a desperate attempt to get out of it these students are a little too smart to see youre just making excuses not to fight me
8846,12,9,Cartman,"Ohhh, ahhhh... That's funny. You're gonna die, you lesbo.  Wendy, seriously though, I do want to apologize. I'm really sorry and I don't think we should fight.",ohhh ahhhh  thats funny youre gonna die you lesbo  wendy seriously though i do want to apologize im really sorry and i dont think we should fight
8852,12,9,Stan,What am I supposed to do about it?,what am i supposed to do about it
8855,12,9,Butters,Ah I hope not! I wanna see Eric kick the crap out of her!,ah i hope not i wanna see eric kick the crap out of her
8858,12,9,Cartman,"Psst real, real quick. Just psst, real quick.  Wendy, you're not gonna believe this.  I just found out my mom has breast cancer.  Man, I sure got what was coming to me! I was a real jerk, and now they're gonna cut off my mom's boobs.",psst real real quick just psst real quick  wendy youre not gonna believe this  i just found out my mom has breast cancer  man i sure got what was coming to me i was a real jerk and now theyre gonna cut off my moms boobs
8860,12,9,Cartman,"Wendy,  I have here twenty-seven dollars in cash. If you just call off the fight then I-",wendy  i have here twentyseven dollars in cash if you just call off the fight then i
8862,12,9,Cartman,"Wendy, I have muscular dystrophy.",wendy i have muscular dystrophy
8864,12,9,Cartman,My mom has muscular dystrophy. In her boobs.,my mom has muscular dystrophy in her boobs
8868,12,9,Cartman,"Okay. Okay Wendy. I will eat my underwear. Right here, right now.",okay okay wendy i will eat my underwear right here right now
8870,12,9,Cartman,"No. U-unless you want me to. You want me to have self-respect, then I will.",no uunless you want me to you want me to have selfrespect then i will
8872,12,9,Cartman,"I'll eat my underwear, Wendy.  And then you'll be satisfied. We can put this whole thing behind us.",ill eat my underwear wendy  and then youll be satisfied we can put this whole thing behind us
8874,12,9,Cartman,"I'm committed to peace, Wendy.  I want you to see just how humbled I am...",im committed to peace wendy  i want you to see just how humbled i am 
8876,12,9,Cartman,Euugh. Wendy? Look at me Wendy.  There. Yeahm.,euugh wendy look at me wendy  there yeahm
8878,12,9,Cartman,So...  are we cool?,so   are we cool
8880,12,9,Cartman,I ate my underwear!  What the hell do you want from me?!  Weh-,i ate my underwear  what the hell do you want from me  weh
8882,12,9,Cartman,"Wendy it isn't fair!  I ate my underwear for you! Nooo!  Yo, what's up dawg?",wendy it isnt fair  i ate my underwear for you nooo  yo whats up dawg
8883,12,9,Cartman,"Stan, Stan! Dude, we need to talk.",stan stan dude we need to talk
8885,12,9,Cartman,"You know, Wendy and I are supposed to fight in like three hours.",you know wendy and i are supposed to fight in like three hours
8887,12,9,Cartman,"Dude, aren't you worried? Wendy's a girl. She could end up getting really hurt, Stan. You're my bro, and she's your bitch. I don't wanna hurt my bro's bitch.",dude arent you worried wendys a girl she could end up getting really hurt stan youre my bro and shes your bitch i dont wanna hurt my bros bitch
8888,12,9,Stan,I can't do anything; she really wants to fight you.,i cant do anything she really wants to fight you
8889,12,9,Cartman,"Nu-no, she doesn't. She told me she doesn't wanna fight. She's just stuck, Stan. Because she knows I'm gonna kick her ass, but she feels like if she doesn't fight me all the kids are gonna call her a chicken.",nuno she doesnt she told me she doesnt wanna fight shes just stuck stan because she knows im gonna kick her ass but she feels like if she doesnt fight me all the kids are gonna call her a chicken
