Character,Line
Cartman,What the hell happened to him?
Cartman,You pull down your pants and wipe your butt on the ground like an old dog.
Kyle,Can you guys meet me over at Cartman's house tonight at around midnight?
Butters,"This is, General Disarray. My final solution."
Cartman,"There, see?! How do you like them apples!  HA!"
Cartman,Oh my God! Butters!  I feel kind of stupid!
Stan,Well that burned a long time.
Cartman,"They look great on you, Butters. They really do."
Kyle,"Which button did you press, Cartman??"
Kyle,And then you said
Cartman,But he finally got the courage to answer his heart's call.
Cartman,"You might as well go buy some cigarettes too, because I like to have a smoke after I get good and fucked! Do you wanna fuck me Mom?!  Just say so! Go ahead! Here!  Huh?! Go ahead, Mom! Fuck me! Fuck me right here in the Best Buy! You wanna fuck your son so bad?! Go on Mom! Fuck me! Fuck me!"
Stan,"Wow, Tweek, your dad rocks!"
Cartman,"Uuh, that's, that's fine. I know how to get us out."
Butters,Wha...? Where is there a bomb shelter??
Kyle,Why would he do this?!
Cartman,"I've outgrown all my friends. I need to meet more mature people, Clyde Frog.  Oh, great idea, Clyde Frog!  I can meet new friends on the Internet!  Here's a chat room: ""Men Who Like Young Boys""  That's perfect.  Hi everybody! I am a young boy seeking an older male for good times. I am eight years old and would li-  Wow! Look at all these guys who wanna be my friend! I'll pick... Tony316.  Hi Tony.  ""So what are you into?""  Oh, you know, the usual stuff. Smiley-face.  ""Kewl. Wanna get together?  Smiley-face?""  Sure, Tony! That would be... kewl. Winking, smiley, face.  ""Meet me at Mel's Buffet restaurant tomorrow morning.""  Sounds good. See you then! Clown hat, curly hair, smiley-face.  You see that, Clyde Frog? Tomorrow I'm gonna meet my first mature friend!"
Butters,"Oh my God, the police are looking for us!"
Mr. Garrison,We can save the town and be super-rich!
Kyle,What's in it for us?
Cartman,"No, you just have to save me."
Stan,"Tweek, when has that ever happened, except for that one time?"
Butters,"God forgave the Jews, you should be able to forgive him!"
Cartman,H'you guys! Come quick!  You won't believe it!
Cartman,Just give me my money back.
Cartman,What? Oh- AWWW!  Ben Affleck's spooge!!
Stan,"No, I just... I think bullying has gotten out of hand. And it needs to be stopped."
Stan,You can't take Chef's money! It's illeg--!
Stan,We hope you can come back to school real soon Mr. Garrison.
Cartman,"What, what is it? What is it for?"
Kyle,Butters! Hey Butters! You have to check this out!
Kyle,Yeah. Clearly Annie Nelson is the hottest girl at our school. Look at those eyes!
Stan,"Oh my God, dude!! I just saw Tony Danza!!"
Stan,How can they even call that a movie?
Stan,"Kyle, quick! You've gotta swim over to us!"
Stan,Eleven o'clock is great. Thank you.  That was easy! I just have to go to their office and they'll help me figure out how to get back at my parents!
Kyle,"Goddammit, Cartman! You only got that because you knew my mom would buy it for me!"
Cartman,Uh-huh? That model airplane kit? Go on.
Randy,Happy? I'm thrilled! Look at how much better this is!
Kyle,And this kid is watching Cartman commenting on people commenting on Dragon Age.
Stan,"Aaaah!  Oh my God, they killed Kenny!"
Cartman,"Oh yeah?! Well, you're a stupid Jew!"
Stan,"But dude, I don't have a clubhouse."
Kyle,What a stupid asshole!
Cartman,"It's like a Sasquatch, only more elusive, more ferocious and a little more greedy."
Randy,"Oh hahahaha, I get it. Blockbuster is so out of date it's ancient. Haha Sharon, okay I get it."
Cartman,"Aw damn, man. Now I'm missing the new Barnaby Jones."
Randy,What the hell is that?  Who put that there?
Cartman,You just have no long-term memory 'cause you get high all the time!
Stan,"Gorak is busy freezing himself again, dick!"
Mr. Garrison,"I can't go tomorrow, the Jizzfest is tonight!"
Cartman,"We can't go home, we have to take Fort Sumter!"
Stan,"Hey, I'm a dirty little bastard too."
Butters,"Eh now gosh darnit, fellas, my name's not Kenny! Kenny's dead."
Cartman,"This thing is recording, right?"
Cartman,"Dude, Stan, yuh you know why Jews have glassy eyes? Like Kyle?  Eh. K-Kenny, you see that chick on the news that had her left titty cut off?  Kenny? Kenny??  Stan? Stan, it's me, Eric!  Eh... Kenny. Kenny, you want fifty cents?  Dude, look at me, Kyle, I'm right here!  Wha...? How did...? Like they couldn't see or hear me. It's almost as if I were...  dead.  No. No, I can't be dead.  I can't be dead!!"
Kyle,"Oh, dude, what a little asshole!"
Mr. Garrison,I am not gay!
Stan,"I know, it's like it doesn't matter anymore."
Cartman,They look exactly the same.
Kyle,It's Cartman's stupid online persona!
Cartman,"Stinky britches, you got stinky britchesStinky, stinky britches, you got stinky--"
Stan,I can't do anything; she really wants to fight you.
Cartman,"Haven't you assholes been watching the news?  Pirating is back, my friends. Swashbuckling adventure on the high seas! The stuff we've all dreamed about! And it's all happening right here:  Somalia."
Stan,"Dude, we're trying to save our planet here?!"
Stan,"Swimming lessons? Dude, that is the lamest thing I've heard heard."
Cartman,"Uh oh, it looks like Kyle is taking issue with something again. Kyle's got a pro-blem. CartmanBrah!"
Kyle,Mister Father!  We have to ask you something.
Stan,"I dunno. Craig, is that you?"
Butters,"Oh, that's cool.  Well come on, Eric, we need to catch up with everyone."
Kyle,"Llook, I know I'm not the best-looking guy in town, but I I didn't think I was the very ugliest."
Stan,It all just happened so fast. The next thing I knew I had a Nike commercial.
Cartman,Nobody likes hanging out with people who complain all the time.
Kyle,I'm actually the complete opposite.
Kyle,But everybody watches Terrance & Phillip.
Stan,"The guards are coming, Kyle. Glue. Glue, damn you!"
Butters,"Mom, Dad!  I changed back!"
Stan,"Man, did she really throw her voice with two dummies at once?"
Kyle,You need to freeze some of your ass off.
Cartman,"Rgh! Ma'am, the Crack Baby Athletic Association is a storied franchise. It was founded over twelve days ago, with a firm ethical code that strictly states ""benefits to players is detrimentalized to their well-being."" I cannot offer you or your child any cash. I can however offer you a little bit of crack. Butters?"
Stan,"I can't afford a cruise, dude."
Butters,And our parents hollered at us!
Stan,You look a lot bigger than the last time we saw you.
Kyle,"It is stupid and immature! So you got people to crap out of their mouths! What do you want, a feakin' medal?!"
Stan,"This isn't about you, Kyle, I have to do this, okay? I have to!"
Kyle,Dad! You tasered my dad!
Kyle,It... doesn't... quite roll off the tongue.
Mr. Garrison,"Broflovski, I had your older brother Kyle in my third-grade class. He's a very smart kid. I'm sure you are, too.  Well that's bad news for everybody else, because I will be grading you all on a curve."
Cartman,"Suck my asshole, taco vendor!"
Cartman,Yeah. We won't have to take crap from anybody.
Kyle,We're not going anywhere without Chef.
Randy,"Now listen up: there are only eight of us now. Peterson was a great guy, and he did not deserve to get beheaded like that. Now I don't know about you, but I am sick and tired of getting to know people here, getting invested in their personalities and their back stories, and then having them die!  When those doors open, we all stick together! If anyone panics, it puts us all at risk!  Stay tough, rookie."
Butters,"Nuh-nothing to be scared of. Jus, just some lightning and thunder.  Gah! Wasn't nothin' neither. J-just a mouse."
Cartman,"Well ah, loosen up, you bloody vaginal belch."
Kyle,"Yeah. Good job, fatass!"
Stan,"Yeah, you rip on people's religion all the time!"
Kyle,"...Uuh, can I talk to her?"
Randy,"All I know is... if Dastardly and Muttley are up to their old tricks, there's gonna be a lot of violence today."
Cartman,"Oh, right! You guys are from the evil, parallel universe?!"
Stan,"That's it, dude. We've gotta take the spooky fish back to that pet store."
Kyle,"Why? Why, Mom? Because if I do something bad will happen to me? Because if I do your God might not shower me with his blessings of infected hemorrhoids?"
Kyle,Dude! He turned Kenny into a duck-billed platypus.
Cartman,"God, I hate old people!"
Stan,Yeah. It's just a dad and his son.
Cartman,"Oho, looks like we've reached customer service, brahs. Now we can truly be everywhere!"
Kyle,"All right!  Dad, I can play!"
Cartman,What the hell are they doing?
Kyle,Ike found out last night. My mom's having sex with the UPS man.
Cartman,"If in fact the Jews truly are shapeshifters, and I believe I've presented enough evidence here to prove that they are, then we must unite as a species to fight them and stop their plan of global domination and the control of our freedom."
Stan,"Aw, dude, you don't even wanna know!"
Cartman,I think... I.. just.. saw the funniest thing I'll ever see. And I... think... I... blew a funny fuse.
Cartman,"Buh- Don't worry. You'll get it someday. Come on, Kyle. Let's go see what kind of tampons they have here in Las Vegas."
Stan,He apparently got to all the cats Cartman's been hiding in his attic.
Cartman,You just want me to open the door!
Cartman,"Yeah dude, EA Sports outdid themselves this time."
Cartman,Butters?! You're gonna take THAT butt hole?! Why?!
Cartman,"I asked God to send someone to help me, and you came, Kyle! I love you man!"
Randy,"Who who did you hear is, is gay?!"
Cartman,"You were listening, but we didn't know you were there?! How is that not spying?! You'r a dick! You're a spying dick! And now you wanna lecture Kenny about spying?! Fuck you, hypocrite dick spy!"
Stan,"Gah, let's go you guys."
Stan,...Wait. Mormons actually know this story and they still believe Joseph Smith was a prophet?
Cartman,"It is a violation of my civil rights, Token, and you should be ashamed of yourself!"
Kyle,"Well, it is kinda true, you know? Thanksgiving is fun and all, but the Native Americans got pretty screwed over."
Cartman,"Butters, do you think your goo might work on someone else?"
Mr. Garrison,"And now children, our friend Mr. Hat is going to tell us all about genetic engineering."
Stan,So I can return it to a bank?
Stan,"Uh, sure, you can all get overtime."
Stan,Sorry Cartman. We like Evil Cartman better. See ya.
Cartman,"Now listen. All we have to do is agree as a community to all bolt our toilet seats down. If they can't raise or lower, there's zero chance of anyone falling in."
Stan,"Haven't you guys ever seen these movies? We're just supposed to rally together, believe in ourselves, and we win in the end."
Stan,"Oh, brother. Let's just get out of here."
Stan,"Okay, what have you got?"
Mr. Garrison,"Chef, can I talk to you?"
Kyle,"If you didn't eat so much, you wouldn't have diarrhea all the time, fatass!"
Kyle,Scott Tenorman? The ninth grader?
Butters,Oh gosh in heaven.
Butters,"Ah I'm pullin' on my wiener, but nothin's happening."
Cartman,I-I'll try. I'll try.
Cartman,"Look at it. Look at it, mother. See how the light reflects the spearmint green from its surface."
Cartman,They can't do that. Who are they to judge us on how we look?
Stan,"Dude, when the police wanna know where somebody is, they ask Apple! The only way we can fix all this is by going to the highest authority on the planet! Yo guys, we're gonna have to ask help from... the Geniuses."
Kyle,Hehe. Why the hell did you dress up like Raggedy Andy dude?
Cartman,You're not allowed to have people over!
Cartman,"Cool, thanks. Let's get to work! Now let's see... something that's a play on words, I don't know... fishsticks. You know, 'cause it, 'cause dicks"
Cartman,What?! Uh they're not so great! They probably don't have a fountain in their lobby!
Stan,"Dad, you like to drink. So have a drink once in a while. Have two. If you devote your whole life to completely avoiding something you like, then that thing still controls your life and, 'n you've never learned any discipline at all."
Cartman,"Well, I gotta go home, guys. I'm gonna sit on the toilet and read comic books. See you at the bus stop tomorrow."
Stan,"Now, do you believe this, Cartman?"
Randy,"Yeah, we're your parents! We can't tell you what to do!"
Mr. Garrison,"Okay, now you're just gonna feel a little pinch."
Stan,"Aunt Flo, where did you get this goldfish?"
Kyle,"Wull yeah, but ah-I got my brother back."
Cartman,My mom says there's a lot of black people in China.
Butters,"Well, there's this ghost, see? Only it probably isn't a ghost, ih-it's just a delusion brought on by my trauma. Well I'm supposed to heh, help him, find out why his spirit is wanderin' the Earth, even though I know that I'm most likely just completely insane."
Cartman,"What if Mephesto never wakes up, and I never find out who my father is?"
Stan,"It's okay, Mom. I understand."
Stan,I was at a rally to protest all the immigrants from the future coming in and tryin' tuh-
Cartman,"Butters, helping people who have AIDS is one of the most important things you can do."
Butters,"Ugh.  Kenny, there's a vampire on the loose. He and Katie Gelson was hanging out with him, and now she's a vampire too!"
Cartman,"Yes, well, we weren't."
Cartman,"Come on, Jimmy, we gotta go back and finish that joke!  ""Like fishsticks in your mouth? What are you a gay fish?"" There!"
Stan,"But you're gonna miss it! They're gonna say ""shit"" and you're gonna miss it!"
Cartman,"Oh, Jesus, did you hear that, Scott?"
Randy,So that's it.  I should just go home and forget about what this sport has done to me. Let thousands of people play sarcastaball and get hurt too!
Butters,"Well, nobody knows it, but sometimes I poop my pants, so I have to wear a diaper to school.  You okay, AWESOM-O?"
Cartman,"Trent Boyett is a liar, sir."
Cartman,"I'm first, I'm first!"
Kyle,"Kenny, we know you really like this girl, but..."
Randy,"Not me. I'm not a scientist, I'm a hack. Even if I found a solution, those people would still all hate me."
Kyle,I can't believe how cold it is out here.
Cartman,"Dummy, you don't ask if you can go! I'm telling my parents I'm staying at Stan's house, Stan's telling his parents he's staying at Kenny's house, and Kenny's not telling his parents anything, 'cause they're alcoholics and they don't care!"
Kyle,We don't have respect for Mr. Garrison.
Kyle,"But if I stop now, I'll just be going with the group again. So, to be an individual, I have to bomb Pearl Harbor. See ya."
Stan,"Oh, tell me about it, Ken doll."
Cartman,"Damn, I've never seen you guys fight like this!"
Kyle,"He said, not now, Craig!"
Randy,"""He took a- and then-"" Oh, man. Oh, this-"
Randy,"Yeah, I know what you mean. I'm down three hundred bucks."
Stan,Wow. I can't believe Ms. Ellen was a criminal Iraqi fugitive.
Cartman,They are so! There's two billion of them and their economy is getting better and with all their advances in technology they're gonna bring down America.
Randy,"Heeeey...  Gerald, what are you doing?! We said we weren't going to shop at the Wall-Mart anymore!"
Stan,"Guys, guys! We are totally fucked! The book is gone from my dresser drawer. My parents must have found it!"
Stan,"You tell 'em, Cartman!"
Kyle,"The new neighbors that moved in next to Stan's house. Me and Ike saw the mom get a parking ticket, and she called the parking cop ""muff cabbage""."
Stan,"Ugh, you know what's really sad?! That this is what matters to people! What nobody seems to remember are the farmers in Belarus! STANground is bigger than me! You wanna tell all those farmers in Belarus it's all bullcrap?!"
Stan,You woke him up!
Randy,This guy doesn't know when to quit!
Cartman,"Get a hold of yourself! I'm the one who died! And for some reason, my spirit is trapped here on Earth. I can't find the passage to Heaven."
Randy,"Stan, Jesus doesn't matter when Muhammad is involved."
Cartman,"Oh my God, this is awesome!"
Kyle,Will you shut up already?!
Mr. Garrison,There's another Klan rally tonight; I have to be there in 15 minutes.
Cartman,"Yeah, well you got skinny arms!  'Scuse me. Move it."
Cartman,Look what we got.
Cartman,That's a very pretty dress.
Mr. Garrison,"Hey, he isn't hurt. He took a dive, he threw the fight!"
Cartman,No! The bread's all flat! No!  Aaaaahhhh!
Cartman,"Okaay, okay. It's not funny anymore.  Oh yes it is!"
Stan,"Goddamnit, get the hell out of here, Towelie!"
Kyle,"If you knew something, but, you couldn't tell anyone, what... what would you do?"
Cartman,Who the hell cast Tom Hanks in this?! Tom Hanks can't act his way out of a nutsack!
Kyle,"What is a proc-tologist, Chef?"
Cartman,"Butters, it was my pleasure."
Stan,"Dude, I don't have time to start over with other girls. I'm nine years old, dude! If I don't work things out with Wendy, I could be alone my whole life!"
Stan,Me neither. I'll be dead before the commercials. Wait a minute! I forgot there's a black and white television back at my house!
Stan,"...Well, it's not like you suddenly have to pee, you're gonna get out of the shower."
Randy,"Stan, listen to me. I don't want you feeling like you have to do that competition now to avenge me."
Kyle,"Dude, it's a Peruvian flute band."
Stan,"No, there's no blood coming out of my ass."
Cartman,But I don't have any cash. I spent everything on this park.
Stan,The bus is going over!
Butters,Two years ago. Two years ago!
Stan,People are saying that?
Cartman,"Kyle, it's very simple: we followed Ally Sheedy out to her car, but on the way we were accosted by five Scientologists who wanted to give us all personality tests, which were administered at the Scientology Center in Denver until 10:45, at which time we accidentally boarded the wrong bus home and ended up in Rancho de Burritos Rojos, south of Castle Rock, and finally got a ride home with a man who was missing his left index finger, named Gary Bushwell, arriving home at 11:46, you got it??"
Kyle,"Hi Mom, Hi Dad!"
Cartman,"Well, I just thought I'd tell you that me and Kenny have finished our clubhouse, and we already have chicks over."
Cartman,I'm gonna do whatever I can... to get that episode pulled before this gets out of hand.
Cartman,We had a little problem.
Stan,What does that mean?
Stan,I already lost all my baby teeth.
Kyle,"Yeah, that leprechauns were real! And the government just declared they AREN'T technically real, so I was right! It's over! I don't have to suck your balls!"
Stan,"Come on, let's do this!"
Stan,"...That makes perfect sense, Butters."
Butters,Hey Eric! I'm not suspended no more.
Randy,"Everyone below this line  will have to be evacuated to the south. Everyone above this line  is already dead. People like us in the middle states have to ride it out.  The balmy southwestern states  might have a chance but, New York  will have tidal waves that envelop all of the northeast.  What, Frank?!  Aw awww, Goddammit!"
Stan,Tell them not to burn us down.
Cartman,"Well, I do just as much work."
Cartman,How many students is that?
Cartman,Twenty hours until Christmas. Our parents still have time to buy us presents IF we hurry.
Stan,But school taught me that the first man and woman lived in Africa.
Randy,Oh yeah!  Three of the best shows in a row!
Kyle,Wow. Barbrady sure is acting weird.
Stan,"Aw, stop it, you guys! I know all about Motivation Corp.! All I've been trying to get you guys to do is admit that you lied to me!"
Kyle,"Ike, you need to have a life. Have fun. Then ruin it by having a serious relationship."
Stan,"So, we'll have ten M-80s, please."
Cartman,"Yesterday, as most of you know, I walked out on this program, and on our school. I was so... fed up with our president's hypocrisies, me not being able to sell my book. I wanted to live in a place where my values were still upheld. And so I decided to leave it all behind and instead just go and live with the Smurfs.  I simply observed the gentle Smurfs at first. I wanted to understand how they could live such simple and decent lives. They were wary of me in the beginning, but slowly I began to earn their trust.  It wasn't long before the gentle Smurfs accepted me as one of their own."
Kyle,"Not now, Cartman! I have really serious problems!"
Butters,It is! It is getting closer! Oh my God!
Kyle,"Damn, CAA is pretty impressive."
Stan,Why don't you just tell the people here at the sea park?
Stan,"How?... When all the things that made you laugh, just make you sick. How do you go on when nothing makes you happy?"
Stan,Lemmiwinks? Our old class gerbil?
Stan,Tell me about it.
Randy,"Well? Gave it my best shot. Least we had a fun trip, huh, gang?"
Cartman,Yeah! Thanks to Jimmy!
Stan,"Dude, I'm not going."
Kyle,Well... if you put it that way...
Cartman,"Ew, doesn't that hurt?"
Cartman,"It's not obscene, dude! I'll show them fucking obscene!"
Stan,Hey yeah. We need to find the very worst kid athlete in the whole world. Somebody who can't possibly win.
Cartman,"They mostly come at night, mostly.  Ey, I was watching Aliens on TV!"
Kyle,Gone are the dark clouds that had me-
Randy,Your Pee Wee hockey game! The Pepsi Center?! In between periods of the Colorado Avalanche?
Cartman,"Hello hello, are you still there?"
Butters,"Ugh.  Wuh, wuh, I can't eat no more."
Kyle,"Cartman, you go ahead and do the commercial tomorrow. But I'm warning you, those anti-smoking people are liars and they're bullies who will stop at nothing to get what they want, and that means they're dangerous."
Cartman,"Oh!! You guys, my ass, seriously..!"
Cartman,And just vhat do you care about your pitiful country?!
Stan,"You guys, we're gonna lose our client."
Mr. Garrison,"Yes,you can give your partner the ol' Hot Karl, sure."
Kyle,"All the time: ""Look out for your little brother, Kyle!"", ""Take care of your little brother, Kyle"", and he wasn't even really my little brother."
Randy,Don't let it get away! Where is it?!  Who was that?!
Butters,"I don't know, this bird nest is pretty neato."
Kyle,"Do you know what happened to me this morning, Stan? This morning... I woke up and felt a sharp pain in my ass. I felt down there and, and found this... big sore lump. On my ass, Stan. I couldn't even sit down, so... I, I had to tell my mother, which, which was humiliating. She took me to the doctor, which was more humiliating, a- a- nd he told me. I-I have a hemorrhoid. It's like an infected blood vessel on your ass. I'm nine years old, and I have a hemorrhoid, Stan. I have a hemorrhoid, and, Cartman has his own theme park."
Cartman,"You can just deal with the Chinese invasion yourself if that's how you're gonna do it, Butters! I'm out, man."
Kyle,Fuck you! Why would they send you in to convince me of anything?!
Cartman,"Kyle, just- don't be a dick right now."
Stan,Why does that matter?
Cartman,Could you turn up the heat just a little?
Mr. Garrison,"Okay, kids, get ready to take your places."
Cartman,"I don't think that's very fair: if I teach Craig, he's gonna really kill Tweek."
Cartman,"Butters, what are you up to?"
Cartman,"I'm through with your stupid plans, Conner! I've got better things to do with my time."
Stan,"Yeah, we gotta talk to Chef after school and get him to come back."
Randy,Let's hear it for Gerald!
Kyle,"Yeah, all you have to do is fart some more, Cartman! And the visitors are sure to come!"
Stan,The... Book of Mormon? What's that?
Butters,"Eric, ye-you're just an image in my head brought on by a traumatic event."
Kyle,"You mean, throw the game? You know how our parents are about this sport."
Cartman,"Oh, Mike, you're breakin' my balls here, Mike."
Stan,"Dude, Cartman is in his clubhouse playing Truth or Dare with girls right now. You really want him to beat us?"
Cartman,Polly... Polly Prissypants... You did this?
Cartman,"Aw Goddammit, another Vagisil commercial?!"
Cartman,"Oh, no! This is my Christmas present! If anything happens to it, my mom will know I opened it early!"
Butters,We can't tell you.
Kyle,So... why would one come to America to warn us about a terrorist attack.
Cartman,There. That's three more songs we've written already! Your style of music is so easy it doesn't require any thought at all!
Cartman,"Alright, got to write the new lyrics. Lemme see.  no  No.  NO!  God-damnit"
Randy,"Stanley, just dye your Goddamned eggs!"
Kyle,"All right. Mr. Garrison, have you ever had a friend who got a new girlfriend, and then stopped being your friend, and it pissed you off?"
Kyle,"Please you've, you've got to believe me! They've still gotta be here somewhere! Uh we've got to find them!"
Cartman,No! Hold on a second!  I have a contract  validated by the United States court system!
Cartman,"I'm not pickin' it ma! God damn it, I have an itch!"
Kyle,What are they doing?
Kyle,"Everyone is watching everything.  Ike?  Ike, if you can hear me, I'm sorry. I have been a grandpa.  I didn't understand the things you are into and I and I thought you should like the same stuff that I did.  I have to accept that you're gonna have your own things. I just didn't want you to watch HIM. I just... I just wanna be a family again."
Cartman,God-damnit! This isn't even GOOD chocolate milk mix!
Stan,I have no idea.
Cartman,Just two so far: me and Alec Baldwin.
Kyle,It looks like a UFO.
Stan,What's it look like I'm doing?! I found your farm in Facebook so you can help me deal with this bullshit! You've gotta go check out my profile status!
Cartman,"Aha, charade you are! Looks like you're the turd now!"
Stan,"It wasn't just me. Other kids called him a fudge packer, even Mr. Gar-"
Cartman,"Hang on. I'm going to do something killer.  God damnit, stop it, Kyle!"
Mr. Garrison,And be ready for a quiz tomorrow morning.
Stan,"Oh yeah? Well You're not my best friend anymore, either! Cartman is now my best friend!"
Cartman,"Well, hi there.  Uh, wha-what are you doing tonight?"
Stan,"Oh, nice going, Cartman!"
Cartman,"Excuse me! Excuse me, I need to go! I gotta run!"
Stan,"And Butters and Jimmy I mean, they're okay but, they're never gonna make it as professional wrestlers."
Stan,"We can't do it without him, Kyle. We've already animated him in it!"
Kyle,"Chef, the police are asking questions about you!"
Stan,"Oh my God, Fonics Monkey killed Kenny!"
Cartman,"Alright, we'll have to play for it. How about... if your name is Butters, you have to go. Okay, so what's your name?"
Mr. Garrison,"I just act that way to get chicks, dumb ass."
Stan,"Oh, hey, that doesn't sound like a bad idea!"
Kyle,"I didn't come to stop you. I... I think you're right, Cartman. I want to help you get the Family Guy episode pulled."
Cartman,"Wuu, Garrison-san sabuchii dana."
Stan,"Dude, what the hell is going in?!"
Kyle,Huh? Well we don't really have that much money.
Stan,"Oh, come on. You guys need to realize that Faith Hilling is over, okay?  You can pretend all you want, but it's not coming back."
Cartman,Sorry.  A little gassy. 'Scuse me.
Stan,"Thanks a lot, Frida!"
Stan,"Man, this condom's driving me crazy."
Cartman,"That kid you have made a bit that if I could prove that I saw a leprechaun, he would suck my balls!"
Kyle,"Well, what about those two college guys next door to me? They're always doing science experiments in their basement."
Cartman,"Shit! Butthole!  Hey Wendy. DUMB BITCH! Uh, sorry.  Titties! Cock!  Ginger retard! Asslicker dickface!"
Cartman,Eh.  Eh. Yeah.  Well hello?
Kyle,Okay. Here we go.  Hey! That was right on target.
Cartman,"Well I'm in Japanese prison Lawd
Japanese prison got me down
Said I'm in Japanese prison Lawd
Don't belong here, my eyes are round."
Cartman,"Well, Stan, thanks a lot for having such a cool uncle that got us all detention for a week."
Cartman,"Everything's gonna be okay, you guys! Life isn't so crappy after all!"
Cartman,"Guys, if we're gonna impress the mall owner and get that gig, we'd better&lt;/&gt; do it better than that.  Next!"
Kyle,"It's okay, it's still the show."
Randy,"Let me handle this, Sharon. You gotta put these cult people in their place or else they never stop! I'm gonna go kick this Mr. Garrison's ass!  This, Mr. Garrison is, is a white guy, right?"
Stan,"No, a double cheeseburger and fries!"
Kyle,"You guys, we have to hurry!"
Cartman,"Weh- who do you think I'm talkin' about, Butters? Joyce de Witt?"
Cartman,"Dude, he's getting super-wasted on life."
Butters,"Mr. Marsh, listen. I know you care about your son, but he's a heck of a player! He's good at tickling, laughing, and getting along."
Cartman,"All right, Mom, look. Here's .. the truth.  God, this is gonna be hard to say.  I think, Mom, that I've been hard on some of the handicapped kids at school in the past. I've sometimes looked at people with disabilities as people God put here on earth for my amusement, but... now I'm starting to think... that if I could just spend one day in their shoes... if I could just see the challenges they face every day... maybe I wouldn't be so cold. I just want a chance to change.  Help me change?"
Cartman,"AWESOM-O must dispense oil waste. Where is the nearest toilet, please?"
Stan,"No, but don't you see? We didn't think it was great before. I think I understand now.  I think I know why Craig's show gets such great ratings! Half the school is high on cough medicine!"
Stan,Bluuch! I'd love to.
Kyle,He's fat and he's stupid?
Kyle,What has this world come to? Where people can just... take your Okama GameSphere.
Cartman,"Uh yes, I'm sure I can convince him to come on the show.  There will of course be a prize involved?  Great. I'll call you back in an hour.  No, thank you.  YES!"
Stan,"Oh my God, they've killed Kenny!"
Stan,It's all right. My friend Chef is gonna coach us.
Cartman,Just tell us already!
Kyle,That's what the sixth graders do behind the school at recess. They take way too much cough medicine because they say it makes them see things in their heads.
Kyle,So... the Vatican took Stan's dad?
Stan,"Butters, listen: you are in big trouble!"
Kyle,"No I won't, because you'd eat 'em first, tubby."
Cartman,How about a robot? How much for the robot?
Cartman,"You will literally be giving us money for doing absolutely nothing. It is the biggest ""fuck you"" we have ever come up with. But we didn't stop there, because a new company direction also means, of course, a new and improved logo."
Stan,involves needing scissors and glue!
Randy,"Oh, you know, try to get it into the end zone, but be really polite about it."
Kyle,"Aw, just forget it!"
Stan,"Well, why don't you just ask them to leave?"
Butters,I just want to end this so we can take our punishment and be done with it!
Stan,"Yeah, his, his cold sore is really bad, and uhh he's losing blood, so we've gotta go."
Stan,"Oh dude, was that yesterday? We forgot."
Cartman,"Stop it now! Ugh-  No use, guys. He's got some sort of defense mechanism."
Randy,Walk to first! Woo!
Kyle,"Well, we just thought we'd let you know. See ya."
Cartman,"Spooge, balls, bloody... vaginal... belch!  You guys, don't laugh. It makes me feel insecure about my illness."
Butters,"Awww, you don't need to do that, AWESOM-O. Hey, I gotta put in my suppository.  Can you help me?"
Stan,"It's all right, dad."
Cartman,"Um, could I get you to do something for me?"
Cartman,"You don't have a TV show anymore, Captain, so you can just suck my Japanese-imprisoned balls! 
I'm in a Japanese prison Lawd. 
Japanese balls got me down."
Cartman,"Oh no. No, you guys. We started this company to do nothing. If we start doing stuff now, it'll put it all at risk!"
Kyle,There's a Hillary Clinton campaign rally.  Cartman? ...Cartman?
Cartman,"I'm not bringin' in food for poor people, Screw them!"
Stan,"Yeah, cause Cartman cheated and won the environmental essay contest."
Mr. Garrison,"Well, what did you think?"
Stan,"Hello? Hello, anybody here?"
Kyle,"What?! Does everybody have to do it, or just me?"
Stan,"I don't know, dude. I've never seen them before."
Kyle,"(Yes. Yes, hurry up.)"
Stan,Kicked out? Oh no!
Cartman,"Nya nya nya nya nyaaa nya! We are comedy writers and you guys aren't! Ha ha ha ha haaa ha! Jimmy, I've been thinking: We've got to patent the fishsticks joke."
Stan,Have you reported this to any other authorities?
Cartman,"Give it back, Kyle!"
Cartman,"Ahaaa, what a stupid asshole! Hahahahaha!"
Kyle,"See?! That sucks, dude!"
Cartman,The black and brown people.
Stan,"Yeah, I wanna return this Margaritaville my stupid dad bought."
Stan,So it wasn't unanimous. Maybe you can just change the list.
Cartman,"We take to the African sea!
We'll brave the squalls and bust your balls
Somalian pirates we!"
Kyle,"Look, we're sorry, you guys, but the balloon just went up in the air and the dude sang a song and we were suddenly there."
Stan,"Dude, I don't think your uncle'd want us driving it."
Kyle,"Wow, you know, Cartman? That is an awesome idea. You should totally go to Somalia."
Stan,"Guys! Guys! Guys! Don't you see what we're doing? Jesus... we're not talking about an object here, we're, we're talking about a person. I mean, look at what we've all become. All this violence and anger and, and for what? For control over somebody's life who... w-we're all just trying to leech off of."
Butters,"Butters Stotch, 2.2 inches. Is that good?"
Cartman,What the hell are you talking about?
Stan,"Kyle, you have to hold your breath!  Oh, very funny!"
Randy,Vou DAMN N MONTAIRE
Cartman,"Still want to leave, Token?  Thank you."
Cartman,What the hell are you guys doing?? Don't tell me you all quit playing World of Warcraft too?!
